                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1493,                0.81599,                 1.1006,                0.89686,                0.82106,                0.85946,                  0.488,                 1.4412,                 1.0235,                 1.3062,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.169,                0.83416,                 1.1128,                0.89303,                0.78541,                0.86613,                0.49913,                 1.4277,                0.98833,                 1.2896,               0.001307,               0.001307,               0.001307
                     37,                 1.1359,                0.79215,                 1.0902,                0.88194,                0.80155,                0.87572,                0.48366,                 1.5357,                 1.1059,                 1.3599,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1413,                0.78779,                  1.087,                0.91351,                0.79828,                0.89022,                0.50065,                 1.4395,                0.98116,                 1.3135,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1424,                0.76688,                 1.1132,                0.86698,                0.83691,                0.89017,                0.51034,                  1.438,                0.90861,                 1.3107,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1227,                0.74821,                 1.0928,                0.80467,                0.84869,                0.86029,                 0.5177,                 1.4088,                0.91651,                 1.2865,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1401,                0.83426,                 1.0886,                0.82029,                0.84236,                0.87998,                0.50617,                 1.4362,                0.89838,                 1.2967,               0.001208,               0.001208,               0.001208
                     42,                 1.0924,                0.73034,                 1.0828,                0.91278,                0.83691,                0.87545,                0.50588,                 1.4013,                0.91225,                 1.2865,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0945,                0.74734,                 1.0661,                0.88679,                0.80258,                0.86455,                0.49024,                 1.3944,                 0.9062,                 1.3084,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1731,                0.78489,                 1.0797,                0.87707,                0.81545,                0.89325,                0.50722,                 1.4139,                0.87219,                 1.3188,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1156,                0.78622,                 1.0624,                0.91887,                0.82833,                0.89479,                 0.5095,                 1.4171,                0.85997,                 1.3435,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0629,                0.74044,                 1.0725,                0.88502,                 0.8412,                0.89078,                0.51914,                 1.3858,                0.85302,                 1.3335,               0.001109,               0.001109,               0.001109
                     47,                  1.046,                0.71754,                 1.0503,                0.82679,                0.86045,                0.89268,                0.53726,                 1.3631,                0.87136,                 1.2993,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0469,                0.68792,                 1.0452,                0.89297,                0.85937,                0.91005,                0.53175,                 1.3932,                0.84658,                 1.3213,              0.0010694,              0.0010694,              0.0010694
